datum,vorhergesagter verbrauch
2015-01-01,128756
2015-01-02,130144
2015-01-03,150632
2015-01-04,137251
2015-01-05,126197
2015-01-06,147085
2015-01-07,141426
2015-01-08,132446
2015-01-09,152610
2015-01-10,141426
2015-01-11,132446
2015-01-12,190395
2015-01-13,140474
2015-01-14,190395
2015-01-15,190395
2015-01-16,186902
2015-01-17,150311
2015-01-18,140493
2015-01-19,194573
2015-01-20,196391
2015-01-21,198853
2015-01-22,198241
2015-01-23,194680
2015-01-24,161724
2015-01-25,143315
2015-01-26,200367
2015-01-27,206560
2015-01-28,208345
2015-01-29,206560
2015-01-30,203941
2015-01-31,165210
2015-02-01,147031
2015-02-02,203718
2015-02-03,206391
2015-02-04,205776
2015-02-05,202524
2015-02-06,199673
2015-02-07,161846
2015-02-08,146048
2015-02-09,146048
2015-02-10,206732
2015-02-11,210222
2015-02-12,208601
2015-02-13,206607
2015-02-14,161846
2015-02-15,150782
2015-02-16,204605
2015-02-17,206257
2015-02-18,205914
2015-02-19,202478
2015-02-20,197656
2015-02-21,158153
2015-02-22,143733
2015-02-23,190642
2015-02-24,198623
2015-02-25,204060
2015-02-26,200654
2015-02-27,193769
2015-02-28,157162
2015-03-01,141683
2015-03-02,197856
2015-03-03,199650
2015-03-04,157049
2015-03-05,138501
2015-03-06,197791
2015-03-07,157049
2015-03-08,138501
2015-03-09,197791
2015-03-10,197452
2015-03-11,197791
2015-03-12,197014
2015-03-13,191946
2015-03-14,192527
2015-03-15,191323
2015-03-16,191798
2015-03-17,189559
2015-03-18,191323
2015-03-19,191798
2015-03-20,189559
2015-03-21,153521
2015-03-22,134898
2015-03-23,186802
2015-03-24,190013
2015-03-25,187877
2015-03-26,184548
2015-03-27,183316
2015-03-28,149518
2015-03-29,130016
2015-03-30,188300
2015-03-31,191770
2015-04-01,190370
2015-04-02,192763
2015-04-03,188168
2015-04-04,148211
2015-04-05,132688
2015-04-06,132688
2015-04-07,187125
2015-04-08,190296
2015-04-09,187682
2015-04-10,178392
2015-04-11,178392
2015-04-12,182512
2015-04-13,181302
2015-04-14,176063
2015-04-15,140732
2015-04-16,176063
2015-04-17,176063
2015-04-18,140732
2015-04-19,121770
2015-04-20,184380
2015-04-21,184380
2015-04-22,184585
2015-04-23,183475
2015-04-24,179708
2015-04-25,141501
2015-04-26,123998
2015-04-27,178908
2015-04-28,185111
2015-04-29,181974
2015-04-30,180038
2015-05-01,123884
2015-05-02,186456
2015-05-03,123884
2015-05-04,123884
2015-05-05,186456
2015-05-06,183270
2015-05-07,186456
2015-05-08,179645
2015-05-09,128335
2015-05-10,121561
2015-05-11,177291
2015-05-12,182274
2015-05-13,137274
2015-05-14,118388
2015-05-15,177437
2015-05-16,137274
2015-05-17,118388
2015-05-18,118388
2015-05-19,182692
2015-05-20,177599
2015-05-21,127806
2015-05-22,149510
2015-05-23,132957
2015-05-24,116950
2015-05-25,111108
2015-05-26,179998
2015-05-27,174622
2015-05-28,176260
2015-05-29,171947
2015-05-30,132703
2015-05-31,109188
2015-06-01,173898
2015-06-02,167309
2015-06-03,174622
2015-06-04,116523
2015-06-05,136442
2015-06-06,116523
2015-06-07,116523
2015-06-08,173064
2015-06-09,178248
2015-06-10,176581
2015-06-11,129946
2015-06-12,155627
2015-06-13,138983
2015-06-14,121601
2015-06-15,177773
2015-06-16,180676
2015-06-17,182509
2015-06-18,183689
2015-06-19,182420
2015-06-20,141727
2015-06-21,122858
2015-06-22,176713
2015-06-23,181619
2015-06-24,180587
2015-06-25,179869
2015-06-26,175842
2015-06-27,138571
2015-06-28,120039
2015-06-29,174359
2015-06-30,179550
