datum,wochentag,feiertag,arbeitstag
2015-01-01,Donnerstag,Neujahr,0
2015-01-02,Freitag,,1
2015-01-03,Samstag,,0
2015-01-04,Sonntag,,0
2015-01-05,Montag,,1
2015-01-06,Dienstag,Heilige Drei Koenige,0
2015-01-07,Mittwoch,,1
2015-01-08,Donnerstag,,1
2015-01-09,Freitag,,1
2015-01-10,Samstag,,0
2015-01-11,Sonntag,,0
2015-01-12,Montag,,1
2015-01-13,Dienstag,,1
2015-01-14,Mittwoch,,1
2015-01-15,Donnerstag,,1
2015-01-16,Freitag,,1
2015-01-17,Samstag,,0
2015-01-18,Sonntag,,0
2015-01-19,Montag,,1
2015-01-20,Dienstag,,1
2015-01-21,Mittwoch,,1
2015-01-22,Donnerstag,,1
2015-01-23,Freitag,,1
2015-01-24,Samstag,,0
2015-01-25,Sonntag,,0
2015-01-26,Montag,,1
2015-01-27,Dienstag,,1
2015-01-28,Mittwoch,,1
2015-01-29,Donnerstag,,1
2015-01-30,Freitag,,1
2015-01-31,Samstag,,0
2015-02-01,Sonntag,,0
2015-02-02,Montag,,1
2015-02-03,Dienstag,,1
2015-02-04,Mittwoch,,1
2015-02-05,Donnerstag,,1
2015-02-06,Freitag,,1
2015-02-07,Samstag,,0
2015-02-08,Sonntag,,0
2015-02-09,Montag,,1
2015-02-10,Dienstag,,1
2015-02-11,Mittwoch,,1
2015-02-12,Donnerstag,,1
2015-02-13,Freitag,,1
2015-02-14,Samstag,,0
2015-02-15,Sonntag,,0
2015-02-16,Montag,,1
2015-02-17,Dienstag,,1
2015-02-18,Mittwoch,,1
2015-02-19,Donnerstag,,1
2015-02-20,Freitag,,1
2015-02-21,Samstag,,0
2015-02-22,Sonntag,,0
2015-02-23,Montag,,1
2015-02-24,Dienstag,,1
2015-02-25,Mittwoch,,1
2015-02-26,Donnerstag,,1
2015-02-27,Freitag,,1
2015-02-28,Samstag,,0
2015-03-01,Sonntag,,0
2015-03-02,Montag,,1
2015-03-03,Dienstag,,1
2015-03-04,Mittwoch,,1
2015-03-05,Donnerstag,,1
2015-03-06,Freitag,,1
2015-03-07,Samstag,,0
2015-03-08,Sonntag,,0
2015-03-09,Montag,,1
2015-03-10,Dienstag,,1
2015-03-11,Mittwoch,,1
2015-03-12,Donnerstag,,1
2015-03-13,Freitag,,1
2015-03-14,Samstag,,0
2015-03-15,Sonntag,,0
2015-03-16,Montag,,1
2015-03-17,Dienstag,,1
2015-03-18,Mittwoch,,1
2015-03-19,Donnerstag,,1
2015-03-20,Freitag,,1
2015-03-21,Samstag,,0
2015-03-22,Sonntag,,0
2015-03-23,Montag,,1
2015-03-24,Dienstag,,1
2015-03-25,Mittwoch,,1
2015-03-26,Donnerstag,,1
2015-03-27,Freitag,,1
2015-03-28,Samstag,,0
2015-03-29,Sonntag,,0
2015-03-30,Montag,,1
2015-03-31,Dienstag,,1
2015-04-01,Mittwoch,,1
2015-04-02,Donnerstag,,1
2015-04-03,Freitag,Karfreitag,0
2015-04-04,Samstag,,0
2015-04-05,Sonntag,,0
2015-04-06,Montag,Ostermontag,0
2015-04-07,Dienstag,,1
2015-04-08,Mittwoch,,1
2015-04-09,Donnerstag,,1
2015-04-10,Freitag,,1
2015-04-11,Samstag,,0
2015-04-12,Sonntag,,0
2015-04-13,Montag,,1
2015-04-14,Dienstag,,1
2015-04-15,Mittwoch,,1
2015-04-16,Donnerstag,,1
2015-04-17,Freitag,,1
2015-04-18,Samstag,,0
2015-04-19,Sonntag,,0
2015-04-20,Montag,,1
2015-04-21,Dienstag,,1
2015-04-22,Mittwoch,,1
2015-04-23,Donnerstag,,1
2015-04-24,Freitag,,1
2015-04-25,Samstag,,0
2015-04-26,Sonntag,,0
2015-04-27,Montag,,1
2015-04-28,Dienstag,,1
2015-04-29,Mittwoch,,1
2015-04-30,Donnerstag,,1
2015-05-01,Freitag,Erster Mai,0
2015-05-02,Samstag,,0
2015-05-03,Sonntag,,0
2015-05-04,Montag,,1
2015-05-05,Dienstag,,1
2015-05-06,Mittwoch,,1
2015-05-07,Donnerstag,,1
2015-05-08,Freitag,,1
2015-05-09,Samstag,,0
2015-05-10,Sonntag,,0
2015-05-11,Montag,,1
