datum,verbrauch,wochentag,feiertag,arbeitstag
2015-01-01,126197,Donnerstag,Neujahr,0
2015-01-02,147085,Freitag,,1
2015-01-03,141426,Samstag,,0
2015-01-04,132446,Sonntag,,0
2015-01-05,152611,Montag,,1
2015-01-06,140474,Dienstag,Heilige Drei Koenige,0
2015-01-07,184936,Mittwoch,,1
2015-01-08,190395,Donnerstag,,1
2015-01-09,186902,Freitag,,1
2015-01-10,150311,Samstag,,0
2015-01-11,140494,Sonntag,,0
2015-01-12,194573,Montag,,1
2015-01-13,196391,Dienstag,,1
2015-01-14,198853,Mittwoch,,1
2015-01-15,198241,Donnerstag,,1
2015-01-16,194680,Freitag,,1
2015-01-17,161724,Samstag,,0
2015-01-18,143315,Sonntag,,0
2015-01-19,200367,Montag,,1
2015-01-20,205528,Dienstag,,1
2015-01-21,208345,Mittwoch,,1
2015-01-22,206560,Donnerstag,,1
2015-01-23,203941,Freitag,,1
2015-01-24,165210,Samstag,,0
2015-01-25,147031,Sonntag,,0
2015-01-26,203719,Montag,,1
2015-01-27,206391,Dienstag,,1
2015-01-28,205776,Mittwoch,,1
2015-01-29,202524,Donnerstag,,1
2015-01-30,199673,Freitag,,1
2015-01-31,161846,Samstag,,0
2015-02-01,146048,Sonntag,,0
2015-02-02,201114,Montag,,1
2015-02-03,206732,Dienstag,,1
2015-02-04,210222,Mittwoch,,1
2015-02-05,208601,Donnerstag,,1
2015-02-06,206607,Freitag,,1
2015-02-07,168175,Samstag,,0
2015-02-08,150782,Sonntag,,0
2015-02-09,204605,Montag,,1
2015-02-10,206257,Dienstag,,1
2015-02-11,205914,Mittwoch,,1
2015-02-12,202478,Donnerstag,,1
2015-02-13,197657,Freitag,,1
2015-02-14,158154,Samstag,,0
2015-02-15,143733,Sonntag,,0
2015-02-16,190642,Montag,,1
2015-02-17,198623,Dienstag,,1
2015-02-18,204060,Mittwoch,,1
2015-02-19,200654,Donnerstag,,1
2015-02-20,193769,Freitag,,1
2015-02-21,157162,Samstag,,0
2015-02-22,141683,Sonntag,,0
2015-02-23,197856,Montag,,1
2015-02-24,199651,Dienstag,,1
2015-02-25,198812,Mittwoch,,1
2015-02-26,197240,Donnerstag,,1
2015-02-27,195773,Freitag,,1
2015-02-28,157049,Samstag,,0
2015-03-01,138501,Sonntag,,0
2015-03-02,193448,Montag,,1
2015-03-03,197452,Dienstag,,1
2015-03-04,197791,Mittwoch,,1
2015-03-05,197014,Donnerstag,,1
2015-03-06,191946,Freitag,,1
2015-03-07,155187,Samstag,,0
2015-03-08,134679,Sonntag,,0
2015-03-09,185888,Montag,,1
2015-03-10,192527,Dienstag,,1
2015-03-11,191323,Mittwoch,,1
2015-03-12,191798,Donnerstag,,1
2015-03-13,189559,Freitag,,1
2015-03-14,153521,Samstag,,0
2015-03-15,134898,Sonntag,,0
2015-03-16,186802,Montag,,1
2015-03-17,190014,Dienstag,,1
2015-03-18,187877,Mittwoch,,1
2015-03-19,184549,Donnerstag,,1
