Datum;Uhrzeit;Gesamt (Netzlast)[MWh];Residuallast[MWh];Pumpspeicher[MWh]
01.01.2015;00:00;1.380;1.379;83
01.01.2015;00:15;1.363;1.363;135
01.01.2015;00:30;1.368;1.366;134
01.01.2015;00:45;1.360;1.358;124
01.01.2015;01:00;1.347;1.346;62
01.01.2015;01:15;1.343;1.341;70
01.01.2015;01:30;1.324;1.322;70
01.01.2015;01:45;1.315;1.313;71
01.01.2015;02:00;1.299;1.298;70
01.01.2015;02:15;1.279;1.278;77
01.01.2015;02:30;1.261;1.260;105
01.01.2015;02:45;1.248;1.245;119
01.01.2015;03:00;1.237;1.234;108
01.01.2015;03:15;1.222;1.220;115
01.01.2015;03:30;1.228;1.226;120
01.01.2015;03:45;1.220;1.218;106
01.01.2015;04:00;1.211;1.210;102
01.01.2015;04:15;1.201;1.197;103
01.01.2015;04:30;1.231;1.227;105
01.01.2015;04:45;1.223;1.221;161
01.01.2015;05:00;1.205;1.201;153
01.01.2015;05:15;1.184;1.183;168
01.01.2015;05:30;1.163;1.162;204
01.01.2015;05:45;1.133;1.133;227
01.01.2015;06:00;1.120;1.119;253
01.01.2015;06:15;1.118;1.118;293
01.01.2015;06:30;1.117;1.116;304
01.01.2015;06:45;1.112;1.111;310
01.01.2015;07:00;1.113;1.112;317
01.01.2015;07:15;1.105;1.104;298
01.01.2015;07:30;1.097;1.095;308
01.01.2015;07:45;1.096;1.094;281
01.01.2015;08:00;1.078;1.077;319
01.01.2015;08:15;1.072;1.071;342
01.01.2015;08:30;1.071;1.070;282
01.01.2015;08:45;1.074;1.071;275
01.01.2015;09:00;1.122;1.116;284
01.01.2015;09:15;1.149;1.137;257
01.01.2015;09:30;1.174;1.156;279
01.01.2015;09:45;1.196;1.172;284
01.01.2015;10:00;1.210;1.180;281
01.01.2015;10:15;1.218;1.190;228
01.01.2015;10:30;1.227;1.200;214
01.01.2015;10:45;1.239;1.211;188
01.01.2015;11:00;1.247;1.215;129
01.01.2015;11:15;1.266;1.232;106
01.01.2015;11:30;1.283;1.248;107
01.01.2015;11:45;1.293;1.256;158
01.01.2015;12:00;1.338;1.301;112
01.01.2015;12:15;1.358;1.316;107
01.01.2015;12:30;1.355;1.310;116
01.01.2015;12:45;1.352;1.308;182
01.01.2015;13:00;1.337;1.299;139
01.01.2015;13:15;1.321;1.290;156
01.01.2015;13:30;1.333;1.305;140
01.01.2015;13:45;1.327;1.302;133
01.01.2015;14:00;1.311;1.290;111
01.01.2015;14:15;1.295;1.278;91
01.01.2015;14:30;1.285;1.271;91
01.01.2015;14:45;1.279;1.263;91
01.01.2015;15:00;1.309;1.296;43
01.01.2015;15:15;1.308;1.299;30
01.01.2015;15:30;1.308;1.301;34
01.01.2015;15:45;1.315;1.309;34
01.01.2015;16:00;1.326;1.322;108
01.01.2015;16:15;1.343;1.340;97
01.01.2015;16:30;1.373;1.371;83
01.01.2015;16:45;1.420;1.419;67
01.01.2015;17:00;1.473;1.472;67
01.01.2015;17:15;1.517;1.516;67
01.01.2015;17:30;1.526;1.526;67
01.01.2015;17:45;1.533;1.532;67
01.01.2015;18:00;1.545;1.545;67
01.01.2015;18:15;1.545;1.545;82
01.01.2015;18:30;1.539;1.539;136
01.01.2015;18:45;1.530;1.529;130
01.01.2015;19:00;1.532;1.531;60
01.01.2015;19:15;1.525;1.524;60
01.01.2015;19:30;1.527;1.523;67
01.01.2015;19:45;1.509;1.508;67
01.01.2015;20:00;1.481;1.480;67
