Datum;Uhrzeit;Gesamt (Netzlast)[MWh];Residuallast[MWh];Pumpspeicher[MWh]
01.01.2017;00:00;1.504;1.489;65
01.01.2017;00:15;1.495;1.478;97
01.01.2017;00:30;1.469;1.450;136
01.01.2017;00:45;1.486;1.467;157
01.01.2017;01:00;1.466;1.448;150
01.01.2017;01:15;1.447;1.427;195
01.01.2017;01:30;1.445;1.425;250
01.01.2017;01:45;1.433;1.416;248
01.01.2017;02:00;1.441;1.427;53
01.01.2017;02:15;1.407;1.394;89
01.01.2017;02:30;1.381;1.368;180
01.01.2017;02:45;1.363;1.349;234
01.01.2017;03:00;1.352;1.338;200
01.01.2017;03:15;1.325;1.311;215
01.01.2017;03:30;1.316;1.301;226
01.01.2017;03:45;1.329;1.314;270
01.01.2017;04:00;1.311;1.297;219
01.01.2017;04:15;1.301;1.286;195
01.01.2017;04:30;1.291;1.274;176
01.01.2017;04:45;1.307;1.288;252
01.01.2017;05:00;1.295;1.274;203
01.01.2017;05:15;1.268;1.245;284
01.01.2017;05:30;1.253;1.229;323
01.01.2017;05:45;1.228;1.202;398
01.01.2017;06:00;1.167;1.139;478
01.01.2017;06:15;1.147;1.119;486
01.01.2017;06:30;1.137;1.106;440
01.01.2017;06:45;1.142;1.108;411
01.01.2017;07:00;1.163;1.131;324
01.01.2017;07:15;1.177;1.145;263
01.01.2017;07:30;1.167;1.135;187
01.01.2017;07:45;1.152;1.119;203
01.01.2017;08:00;1.159;1.120;226
01.01.2017;08:15;1.142;1.099;177
01.01.2017;08:30;1.149;1.103;153
01.01.2017;08:45;1.143;1.087;128
01.01.2017;09:00;1.152;1.079;193
01.01.2017;09:15;1.216;1.112;208
01.01.2017;09:30;1.223;1.095;147
01.01.2017;09:45;1.246;1.080;125
01.01.2017;10:00;1.257;1.057;133
01.01.2017;10:15;1.266;1.041;87
01.01.2017;10:30;1.259;1.025;70
01.01.2017;10:45;1.253;998;66
01.01.2017;11:00;1.255;972;200
01.01.2017;11:15;1.259;957;126
01.01.2017;11:30;1.266;939;164
01.01.2017;11:45;1.280;936;161
01.01.2017;12:00;1.293;934;150
01.01.2017;12:15;1.342;976;148
01.01.2017;12:30;1.364;979;136
01.01.2017;12:45;1.354;973;109
01.01.2017;13:00;1.297;936;149
01.01.2017;13:15;1.312;944;143
01.01.2017;13:30;1.302;953;106
01.01.2017;13:45;1.300;973;47
01.01.2017;14:00;1.318;1.007;8
01.01.2017;14:15;1.313;1.034;2
01.01.2017;14:30;1.294;1.059;1
01.01.2017;14:45;1.272;1.068;1
01.01.2017;15:00;1.276;1.106;10
01.01.2017;15:15;1.297;1.170;1
01.01.2017;15:30;1.315;1.216;1
01.01.2017;15:45;1.327;1.253;1
01.01.2017;16:00;1.324;1.266;102
01.01.2017;16:15;1.345;1.304;51
01.01.2017;16:30;1.380;1.343;37
01.01.2017;16:45;1.423;1.388;36
01.01.2017;17:00;1.488;1.453;2
01.01.2017;17:15;1.561;1.521;0
01.01.2017;17:30;1.576;1.532;0
01.01.2017;17:45;1.577;1.523;0
01.01.2017;18:00;1.567;1.511;0
01.01.2017;18:15;1.628;1.568;0
01.01.2017;18:30;1.615;1.550;0
01.01.2017;18:45;1.606;1.542;0
01.01.2017;19:00;1.618;1.553;0
01.01.2017;19:15;1.582;1.514;1
01.01.2017;19:30;1.570;1.501;1
01.01.2017;19:45;1.577;1.513;1
01.01.2017;20:00;1.579;1.512;3
01.01.2017;20:15;1.554;1.484;0
01.01.2017;20:30;1.542;1.478;1
01.01.2017;20:45;1.555;1.493;5
01.01.2017;21:00;1.527;1.469;29
01.01.2017;21:15;1.541;1.486;35
01.01.2017;21:30;1.529;1.473;78
01.01.2017;21:45;1.534;1.481;67
01.01.2017;22:00;1.537;1.484;36
01.01.2017;22:15;1.575;1.518;41
01.01.2017;22:30;1.570;1.510;28
01.01.2017;22:45;1.549;1.487;82
01.01.2017;23:00;1.514;1.450;22
01.01.2017;23:15;1.543;1.479;43
01.01.2017;23:30;1.480;1.410;113
01.01.2017;23:45;1.486;1.417;197
02.01.2017;00:00;1.431;1.365;131
02.01.2017;00:15;1.417;1.346;240
02.01.2017;00:30;1.392;1.318;284
02.01.2017;00:45;1.344;1.271;371
02.01.2017;01:00;1.339;1.262;197
02.01.2017;01:15;1.323;1.250;251
02.01.2017;01:30;1.307;1.233;299
02.01.2017;01:45;1.314;1.246;299
02.01.2017;02:00;1.319;1.251;201
02.01.2017;02:15;1.303;1.237;255
02.01.2017;02:30;1.296;1.234;307
02.01.2017;02:45;1.294;1.245;343
02.01.2017;03:00;1.294;1.248;351
02.01.2017;03:15;1.273;1.233;355
02.01.2017;03:30;1.278;1.245;343
02.01.2017;03:45;1.289;1.257;366
02.01.2017;04:00;1.300;1.267;347
02.01.2017;04:15;1.318;1.286;304
02.01.2017;04:30;1.318;1.287;273
02.01.2017;04:45;1.344;1.315;296
02.01.2017;05:00;1.349;1.322;417
02.01.2017;05:15;1.365;1.339;409
02.01.2017;05:30;1.408;1.382;314
02.01.2017;05:45;1.415;1.388;192
02.01.2017;06:00;1.433;1.406;347
02.01.2017;06:15;1.544;1.516;203
02.01.2017;06:30;1.574;1.544;165
02.01.2017;06:45;1.625;1.594;79
02.01.2017;07:00;1.661;1.630;95
02.01.2017;07:15;1.717;1.689;70
02.01.2017;07:30;1.761;1.737;18
02.01.2017;07:45;1.790;1.764;0
02.01.2017;08:00;1.829;1.799;11
02.01.2017;08:15;1.815;1.781;30
02.01.2017;08:30;1.847;1.814;52
02.01.2017;08:45;1.869;1.837;49
02.01.2017;09:00;1.897;1.861;41
02.01.2017;09:15;1.955;1.909;9
02.01.2017;09:30;2.000;1.944;0
02.01.2017;09:45;2.053;1.985;1
02.01.2017;10:00;2.054;1.977;1
02.01.2017;10:15;2.072;1.988;1
02.01.2017;10:30;2.084;1.988;1
02.01.2017;10:45;2.117;2.012;1
02.01.2017;11:00;2.133;2.027;1
02.01.2017;11:15;2.146;2.037;1
02.01.2017;11:30;2.145;2.032;2
02.01.2017;11:45;2.152;2.045;2
02.01.2017;12:00;2.166;2.059;2
02.01.2017;12:15;2.175;2.058;1
02.01.2017;12:30;2.179;2.076;1
02.01.2017;12:45;2.176;2.074;2
02.01.2017;13:00;2.157;2.061;2
02.01.2017;13:15;2.147;2.055;1
02.01.2017;13:30;2.118;2.038;1
02.01.2017;13:45;2.095;2.022;63
02.01.2017;14:00;2.067;1.995;12
02.01.2017;14:15;2.072;2.004;2
02.01.2017;14:30;2.077;2.015;10
02.01.2017;14:45;2.062;2.009;26
02.01.2017;15:00;2.047;2.003;22
02.01.2017;15:15;2.031;1.991;12
02.01.2017;15:30;2.021;1.989;29
02.01.2017;15:45;2.046;2.016;38
02.01.2017;16:00;2.030;2.000;67
02.01.2017;16:15;2.024;1.997;63
02.01.2017;16:30;2.063;2.038;2
02.01.2017;16:45;2.059;2.036;1
02.01.2017;17:00;2.129;2.108;74
02.01.2017;17:15;2.098;2.078;53
02.01.2017;17:30;2.118;2.098;30
02.01.2017;17:45;2.090;2.070;52
02.01.2017;18:00;2.080;2.058;40
02.01.2017;18:15;2.081;2.060;145
02.01.2017;18:30;2.088;2.066;202
02.01.2017;18:45;2.069;2.050;112
02.01.2017;19:00;2.066;2.047;9
02.01.2017;19:15;2.072;2.051;0
02.01.2017;19:30;2.036;2.015;0
02.01.2017;19:45;2.032;2.013;0
02.01.2017;20:00;1.964;1.944;27
02.01.2017;20:15;1.951;1.931;83
02.01.2017;20:30;1.921;1.900;104
02.01.2017;20:45;1.933;1.915;202
02.01.2017;21:00;1.880;1.863;37
02.01.2017;21:15;1.920;1.905;40
02.01.2017;21:30;1.899;1.885;70
02.01.2017;21:45;1.880;1.869;74
02.01.2017;22:00;1.875;1.865;34
02.01.2017;22:15;1.898;1.889;1
02.01.2017;22:30;1.836;1.825;44
02.01.2017;22:45;1.818;1.808;31
02.01.2017;23:00;1.771;1.761;10
02.01.2017;23:15;1.774;1.764;100
02.01.2017;23:30;1.744;1.735;157
02.01.2017;23:45;1.722;1.713;242
03.01.2017;00:00;1.679;1.671;169
03.01.2017;00:15;1.673;1.664;185
03.01.2017;00:30;1.645;1.637;195
03.01.2017;00:45;1.591;1.584;345
03.01.2017;01:00;1.571;1.564;234
03.01.2017;01:15;1.558;1.550;251
03.01.2017;01:30;1.524;1.516;276
03.01.2017;01:45;1.536;1.529;254
03.01.2017;02:00;1.532;1.524;221
03.01.2017;02:15;1.517;1.508;245
03.01.2017;02:30;1.505;1.494;276
03.01.2017;02:45;1.491;1.479;280
03.01.2017;03:00;1.481;1.470;151
03.01.2017;03:15;1.481;1.470;272
03.01.2017;03:30;1.468;1.457;315
03.01.2017;03:45;1.479;1.468;350
03.01.2017;04:00;1.496;1.486;317
03.01.2017;04:15;1.498;1.488;298
03.01.2017;04:30;1.495;1.485;284
03.01.2017;04:45;1.543;1.535;283
03.01.2017;05:00;1.534;1.526;371
03.01.2017;05:15;1.530;1.520;304
03.01.2017;05:30;1.537;1.527;269
03.01.2017;05:45;1.580;1.570;189
03.01.2017;06:00;1.594;1.583;209
03.01.2017;06:15;1.674;1.662;27
03.01.2017;06:30;1.698;1.685;11
03.01.2017;06:45;1.731;1.716;52
03.01.2017;07:00;1.786;1.771;67
03.01.2017;07:15;1.824;1.806;30
03.01.2017;07:30;1.861;1.841;3
03.01.2017;07:45;1.912;1.890;3
03.01.2017;08:00;1.953;1.926;1
03.01.2017;08:15;1.957;1.925;0
03.01.2017;08:30;1.976;1.941;4
03.01.2017;08:45;1.991;1.948;21
03.01.2017;09:00;2.018;1.961;4
03.01.2017;09:15;2.072;1.994;21
03.01.2017;09:30;2.093;2.010;21
03.01.2017;09:45;2.115;2.021;21
03.01.2017;10:00;2.135;2.034;21
03.01.2017;10:15;2.148;2.036;11
03.01.2017;10:30;2.138;2.024;0
03.01.2017;10:45;2.144;2.025;0
03.01.2017;11:00;2.130;2.006;0
03.01.2017;11:15;2.124;1.995;0
03.01.2017;11:30;2.128;1.996;0
03.01.2017;11:45;2.129;1.989;0
03.01.2017;12:00;2.111;1.973;0
03.01.2017;12:15;2.140;1.980;0
03.01.2017;12:30;2.110;1.961;1
03.01.2017;12:45;2.109;1.950;10
03.01.2017;13:00;2.086;1.937;14
03.01.2017;13:15;2.097;1.949;22
03.01.2017;13:30;2.083;1.940;14
03.01.2017;13:45;2.074;1.935;108
03.01.2017;14:00;2.058;1.923;7
03.01.2017;14:15;2.059;1.943;5
03.01.2017;14:30;2.040;1.933;34
03.01.2017;14:45;2.022;1.914;41
03.01.2017;15:00;2.016;1.919;14
03.01.2017;15:15;2.027;1.947;24
03.01.2017;15:30;2.011;1.944;16
03.01.2017;15:45;2.015;1.953;35
03.01.2017;16:00;2.014;1.956;91
03.01.2017;16:15;2.030;1.972;70
03.01.2017;16:30;2.048;1.994;15
03.01.2017;16:45;2.072;2.015;0
03.01.2017;17:00;2.109;2.051;0
03.01.2017;17:15;2.165;2.105;0
03.01.2017;17:30;2.165;2.097;0
03.01.2017;17:45;2.151;2.077;0
03.01.2017;18:00;2.148;2.073;0
03.01.2017;18:15;2.134;2.060;0
03.01.2017;18:30;2.122;2.043;0
03.01.2017;18:45;2.101;2.012;25
03.01.2017;19:00;2.099;2.011;43
03.01.2017;19:15;2.085;1.990;43
03.01.2017;19:30;2.064;1.965;28
03.01.2017;19:45;2.050;1.950;82
03.01.2017;20:00;2.014;1.910;82
03.01.2017;20:15;1.983;1.881;79
03.01.2017;20:30;1.982;1.876;127
03.01.2017;20:45;1.938;1.833;197
03.01.2017;21:00;1.916;1.809;27
03.01.2017;21:15;1.925;1.816;14
03.01.2017;21:30;1.910;1.802;28
03.01.2017;21:45;1.905;1.798;92
03.01.2017;22:00;1.903;1.785;13
03.01.2017;22:15;1.891;1.773;56
03.01.2017;22:30;1.844;1.723;83
03.01.2017;22:45;1.798;1.680;222
03.01.2017;23:00;1.800;1.679;77
03.01.2017;23:15;1.810;1.689;159
03.01.2017;23:30;1.770;1.652;246
03.01.2017;23:45;1.722;1.603;324
04.01.2017;00:00;1.682;1.557;136
04.01.2017;00:15;1.695;1.569;110
04.01.2017;00:30;1.677;1.551;120
04.01.2017;00:45;1.636;1.504;202
04.01.2017;01:00;1.608;1.468;126
04.01.2017;01:15;1.608;1.477;119
04.01.2017;01:30;1.579;1.448;109
04.01.2017;01:45;1.581;1.449;173
04.01.2017;02:00;1.575;1.443;144
04.01.2017;02:15;1.560;1.430;175
04.01.2017;02:30;1.539;1.414;146
04.01.2017;02:45;1.538;1.411;195
04.01.2017;03:00;1.531;1.401;156
04.01.2017;03:15;1.522;1.393;166
04.01.2017;03:30;1.507;1.377;184
04.01.2017;03:45;1.525;1.398;227
04.01.2017;04:00;1.527;1.395;232
04.01.2017;04:15;1.530;1.386;272
04.01.2017;04:30;1.540;1.392;278
04.01.2017;04:45;1.590;1.449;260
04.01.2017;05:00;1.586;1.451;291
04.01.2017;05:15;1.583;1.453;322
04.01.2017;05:30;1.590;1.461;292
04.01.2017;05:45;1.616;1.485;199
04.01.2017;06:00;1.614;1.489;130
04.01.2017;06:15;1.720;1.597;29
04.01.2017;06:30;1.730;1.613;3
04.01.2017;06:45;1.796;1.678;1
04.01.2017;07:00;1.842;1.725;5
04.01.2017;07:15;1.879;1.763;1
04.01.2017;07:30;1.916;1.794;1
04.01.2017;07:45;1.944;1.819;1
04.01.2017;08:00;1.976;1.856;1
04.01.2017;08:15;1.998;1.878;1
04.01.2017;08:30;2.005;1.881;21
04.01.2017;08:45;2.025;1.899;1
04.01.2017;09:00;2.033;1.902;6
04.01.2017;09:15;2.082;1.946;0
04.01.2017;09:30;2.125;1.998;0
04.01.2017;09:45;2.163;2.027;0
04.01.2017;10:00;2.153;2.012;0
04.01.2017;10:15;2.159;2.009;0
04.01.2017;10:30;2.183;2.015;0
04.01.2017;10:45;2.209;2.032;1
04.01.2017;11:00;2.221;2.043;30
04.01.2017;11:15;2.198;2.007;24
04.01.2017;11:30;2.212;2.019;9
04.01.2017;11:45;2.225;2.043;11
04.01.2017;12:00;2.253;2.067;31
04.01.2017;12:15;2.248;2.066;53
04.01.2017;12:30;2.202;2.005;36
04.01.2017;12:45;2.219;2.029;70
04.01.2017;13:00;2.219;2.035;128
04.01.2017;13:15;2.235;2.057;99
04.01.2017;13:30;2.189;2.013;47
04.01.2017;13:45;2.199;2.017;123
04.01.2017;14:00;2.180;2.000;43
04.01.2017;14:15;2.174;1.997;14
04.01.2017;14:30;2.160;1.991;5
04.01.2017;14:45;2.157;1.995;61
04.01.2017;15:00;2.149;1.998;93
04.01.2017;15:15;2.148;2.003;80
04.01.2017;15:30;2.142;1.999;66
04.01.2017;15:45;2.125;1.984;90
04.01.2017;16:00;2.112;1.977;166
04.01.2017;16:15;2.130;2.001;42
04.01.2017;16:30;2.119;1.992;1
04.01.2017;16:45;2.157;2.031;0
04.01.2017;17:00;2.193;2.068;0
04.01.2017;17:15;2.214;2.092;1
04.01.2017;17:30;2.212;2.088;1
04.01.2017;17:45;2.189;2.068;1
04.01.2017;18:00;2.203;2.081;1
04.01.2017;18:15;2.152;2.026;6
04.01.2017;18:30;2.128;2.004;31
04.01.2017;18:45;2.126;2.000;37
04.01.2017;19:00;2.112;1.980;58
04.01.2017;19:15;2.111;1.983;123
04.01.2017;19:30;2.089;1.964;82
04.01.2017;19:45;2.089;1.970;80
