datum,monat,wochentag,feiertag,arbeitstag
2015-01-01,Januar,Donnerstag,Neujahr,0
2015-01-02,Januar,Freitag,,1
2015-01-03,Januar,Samstag,,0
2015-01-04,Januar,Sonntag,,0
2015-01-05,Januar,Montag,,1
2015-01-06,Januar,Dienstag,Heilige Drei Koenige,0
2015-01-07,Januar,Mittwoch,,1
2015-01-08,Januar,Donnerstag,,1
2015-01-09,Januar,Freitag,,1
2015-01-10,Januar,Samstag,,0
2015-01-11,Januar,Sonntag,,0
2015-01-12,Januar,Montag,,1
2015-01-13,Januar,Dienstag,,1
2015-01-14,Januar,Mittwoch,,1
2015-01-15,Januar,Donnerstag,,1
2015-01-16,Januar,Freitag,,1
2015-01-17,Januar,Samstag,,0
2015-01-18,Januar,Sonntag,,0
2015-01-19,Januar,Montag,,1
2015-01-20,Januar,Dienstag,,1
2015-01-21,Januar,Mittwoch,,1
2015-01-22,Januar,Donnerstag,,1
2015-01-23,Januar,Freitag,,1
2015-01-24,Januar,Samstag,,0
2015-01-25,Januar,Sonntag,,0
2015-01-26,Januar,Montag,,1
2015-01-27,Januar,Dienstag,,1
2015-01-28,Januar,Mittwoch,,1
2015-01-29,Januar,Donnerstag,,1
2015-01-30,Januar,Freitag,,1
2015-01-31,Januar,Samstag,,0
2015-02-01,Februar,Sonntag,,0
2015-02-02,Februar,Montag,,1
2015-02-03,Februar,Dienstag,,1
2015-02-04,Februar,Mittwoch,,1
2015-02-05,Februar,Donnerstag,,1
2015-02-06,Februar,Freitag,,1
2015-02-07,Februar,Samstag,,0
2015-02-08,Februar,Sonntag,,0
2015-02-09,Februar,Montag,,1
2015-02-10,Februar,Dienstag,,1
2015-02-11,Februar,Mittwoch,,1
2015-02-12,Februar,Donnerstag,,1
2015-02-13,Februar,Freitag,,1
2015-02-14,Februar,Samstag,,0
2015-02-15,Februar,Sonntag,,0
2015-02-16,Februar,Montag,,1
2015-02-17,Februar,Dienstag,,1
2015-02-18,Februar,Mittwoch,,1
2015-02-19,Februar,Donnerstag,,1
2015-02-20,Februar,Freitag,,1
2015-02-21,Februar,Samstag,,0
2015-02-22,Februar,Sonntag,,0
2015-02-23,Februar,Montag,,1
2015-02-24,Februar,Dienstag,,1
2015-02-25,Februar,Mittwoch,,1
2015-02-26,Februar,Donnerstag,,1
2015-02-27,Februar,Freitag,,1
2015-02-28,Februar,Samstag,,0
2015-03-01,Maerz,Sonntag,,0
2015-03-02,Maerz,Montag,,1
2015-03-03,Maerz,Dienstag,,1
2015-03-04,Maerz,Mittwoch,,1
