datum,verbrauch,monat,wochentag,feiertag,arbeitstag
2015-01-01,126197,Januar,Donnerstag,Neujahr,0
2015-01-02,147085,Januar,Freitag,,1
2015-01-03,141426,Januar,Samstag,,0
2015-01-04,132446,Januar,Sonntag,,0
2015-01-05,152611,Januar,Montag,,1
2015-01-06,140474,Januar,Dienstag,Heilige Drei Koenige,0
2015-01-07,184936,Januar,Mittwoch,,1
2015-01-08,190395,Januar,Donnerstag,,1
2015-01-09,186902,Januar,Freitag,,1
2015-01-10,150311,Januar,Samstag,,0
2015-01-11,140494,Januar,Sonntag,,0
2015-01-12,194573,Januar,Montag,,1
2015-01-13,196391,Januar,Dienstag,,1
2015-01-14,198853,Januar,Mittwoch,,1
2015-01-15,198241,Januar,Donnerstag,,1
2015-01-16,194680,Januar,Freitag,,1
2015-01-17,161724,Januar,Samstag,,0
2015-01-18,143315,Januar,Sonntag,,0
2015-01-19,200367,Januar,Montag,,1
2015-01-20,205528,Januar,Dienstag,,1
2015-01-21,208345,Januar,Mittwoch,,1
2015-01-22,206560,Januar,Donnerstag,,1
2015-01-23,203941,Januar,Freitag,,1
2015-01-24,165210,Januar,Samstag,,0
2015-01-25,147031,Januar,Sonntag,,0
2015-01-26,203719,Januar,Montag,,1
2015-01-27,206391,Januar,Dienstag,,1
2015-01-28,205776,Januar,Mittwoch,,1
2015-01-29,202524,Januar,Donnerstag,,1
2015-01-30,199673,Januar,Freitag,,1
2015-01-31,161846,Januar,Samstag,,0
2015-02-01,146048,Februar,Sonntag,,0
2015-02-02,201114,Februar,Montag,,1
2015-02-03,206732,Februar,Dienstag,,1
2015-02-04,210222,Februar,Mittwoch,,1
2015-02-05,208601,Februar,Donnerstag,,1
2015-02-06,206607,Februar,Freitag,,1
2015-02-07,168175,Februar,Samstag,,0
2015-02-08,150782,Februar,Sonntag,,0
2015-02-09,204605,Februar,Montag,,1
2015-02-10,206257,Februar,Dienstag,,1
2015-02-11,205914,Februar,Mittwoch,,1
2015-02-12,202478,Februar,Donnerstag,,1
2015-02-13,197657,Februar,Freitag,,1
2015-02-14,158154,Februar,Samstag,,0
2015-02-15,143733,Februar,Sonntag,,0
2015-02-16,190642,Februar,Montag,,1
2015-02-17,198623,Februar,Dienstag,,1
2015-02-18,204060,Februar,Mittwoch,,1
2015-02-19,200654,Februar,Donnerstag,,1
2015-02-20,193769,Februar,Freitag,,1
2015-02-21,157162,Februar,Samstag,,0
2015-02-22,141683,Februar,Sonntag,,0
2015-02-23,197856,Februar,Montag,,1
2015-02-24,199651,Februar,Dienstag,,1
2015-02-25,198812,Februar,Mittwoch,,1
2015-02-26,197240,Februar,Donnerstag,,1
2015-02-27,195773,Februar,Freitag,,1
2015-02-28,157049,Februar,Samstag,,0
2015-03-01,138501,Maerz,Sonntag,,0
2015-03-02,193448,Maerz,Montag,,1
2015-03-03,197452,Maerz,Dienstag,,1
2015-03-04,197791,Maerz,Mittwoch,,1
2015-03-05,197014,Maerz,Donnerstag,,1
2015-03-06,191946,Maerz,Freitag,,1
2015-03-07,155187,Maerz,Samstag,,0
2015-03-08,134679,Maerz,Sonntag,,0
2015-03-09,185888,Maerz,Montag,,1
2015-03-10,192527,Maerz,Dienstag,,1
2015-03-11,191323,Maerz,Mittwoch,,1
2015-03-12,191798,Maerz,Donnerstag,,1
2015-03-13,189559,Maerz,Freitag,,1
2015-03-14,153521,Maerz,Samstag,,0
2015-03-15,134898,Maerz,Sonntag,,0
2015-03-16,186802,Maerz,Montag,,1
2015-03-17,190014,Maerz,Dienstag,,1
2015-03-18,187877,Maerz,Mittwoch,,1
2015-03-19,184549,Maerz,Donnerstag,,1
2015-03-20,183316,Maerz,Freitag,,1
2015-03-21,149518,Maerz,Samstag,,0
2015-03-22,132688,Maerz,Sonntag,,0
2015-03-23,188300,Maerz,Montag,,1
2015-03-24,191770,Maerz,Dienstag,,1
2015-03-25,190370,Maerz,Mittwoch,,1
2015-03-26,192763,Maerz,Donnerstag,,1
2015-03-27,188168,Maerz,Freitag,,1
2015-03-28,148211,Maerz,Samstag,,0
2015-03-29,124619,Maerz,Sonntag,,0
2015-03-30,187126,Maerz,Montag,,1
2015-03-31,186406,Maerz,Dienstag,,1
2015-04-01,190296,April,Mittwoch,,1
2015-04-02,187682,April,Donnerstag,,1
2015-04-03,135766,April,Freitag,Karfreitag,0
2015-04-04,135151,April,Samstag,,0
2015-04-05,120771,April,Sonntag,,0
2015-04-06,123755,April,Montag,Ostermontag,0
2015-04-07,178392,April,Dienstag,,1
2015-04-08,182512,April,Mittwoch,,1
2015-04-09,181302,April,Donnerstag,,1
2015-04-10,176063,April,Freitag,,1
2015-04-11,140732,April,Samstag,,0
2015-04-12,121770,April,Sonntag,,0
2015-04-13,178655,April,Montag,,1
2015-04-14,184381,April,Dienstag,,1
2015-04-15,184585,April,Mittwoch,,1
2015-04-16,183475,April,Donnerstag,,1
2015-04-17,179709,April,Freitag,,1
2015-04-18,141501,April,Samstag,,0
2015-04-19,123998,April,Sonntag,,0
2015-04-20,178908,April,Montag,,1
2015-04-21,185114,April,Dienstag,,1
2015-04-22,181974,April,Mittwoch,,1
2015-04-23,180039,April,Donnerstag,,1
2015-04-24,179645,April,Freitag,,1
2015-04-25,142759,April,Samstag,,0
2015-04-26,123884,April,Sonntag,,0
2015-04-27,179962,April,Montag,,1
2015-04-28,186456,April,Dienstag,,1
2015-04-29,183270,April,Mittwoch,,1
2015-04-30,180196,April,Donnerstag,,1
2015-05-01,123899,Mai,Freitag,Erster Mai,0
2015-05-02,128335,Mai,Samstag,,0
2015-05-03,121561,Mai,Sonntag,,0
2015-05-04,177291,Mai,Montag,,1
2015-05-05,182274,Mai,Dienstag,,1
2015-05-06,180890,Mai,Mittwoch,,1
2015-05-07,178409,Mai,Donnerstag,,1
