datum,forecast,actual,residual,baseline
2021-01-01,123337,131423,8086,140167
2021-01-02,131060,140812,9752,140998
2021-01-03,133687,143167,9480,135055
2021-01-04,186832,178006,-8826,167014
2021-01-05,186979,184918,-2061,178061
2021-01-06,146998,161034,14036,157753
2021-01-07,190048,191174,1126,192925
2021-01-08,202489,196043,-6446,186871
2021-01-09,163753,168608,4855,161899
2021-01-10,156584,155158,-1426,165874
2021-01-11,210241,211199,958,204926
2021-01-12,212503,221813,9310,206176
2021-01-13,217584,217226,-358,199917
2021-01-14,214914,215349,435,212254
2021-01-15,214268,211312,-2956,212778
2021-01-16,175332,176657,1325,181091
2021-01-17,157180,164047,6867,161475
2021-01-18,212859,212066,-793,209378
2021-01-19,214765,219864,5099,213154
2021-01-20,216658,216292,-366,207743
2021-01-21,211735,209516,-2219,212713
2021-01-22,203908,201172,-2736,207999
2021-01-23,165046,169779,4733,174799
2021-01-24,154781,156984,2203,156488
2021-01-25,208036,210762,2726,207089
2021-01-26,216002,216580,578,213165
2021-01-27,216576,217311,735,209704
2021-01-28,211163,208498,-2665,205362
2021-01-29,200913,199412,-1501,200185
2021-01-30,162073,165215,3142,166865
2021-01-31,149871,153088,3217,151198
2021-02-01,202096,202833,737,204147
2021-02-02,206116,205271,-845,207488
2021-02-03,203106,203756,650,204059
2021-02-04,201820,201186,-634,199212
2021-02-05,196008,196824,816,193262
2021-02-06,158236,161927,3691,160421
2021-02-07,144707,150900,6193,147793
2021-02-08,203087,208180,5093,203284
2021-02-09,214029,219166,5137,209277
2021-02-10,220773,222193,1420,212770
2021-02-11,221866,222761,895,216626
2021-02-12,219413,218654,-759,211624
2021-02-13,182811,183653,842,177377
2021-02-14,164912,164960,48,161000
2021-02-15,214471,213699,-772,210943
2021-02-16,212413,207042,-5371,206383
2021-02-17,205459,205745,286,205719
2021-02-18,202753,202674,-79,199915
2021-02-19,195857,194449,-1408,193874
2021-02-20,153888,154250,362,157172
2021-02-21,136786,139916,3130,141989
2021-02-22,188511,191371,2860,192276
2021-02-23,195895,192882,-3013,193230
2021-02-24,193155,191329,-1826,195297
2021-02-25,189736,189095,-641,195779
2021-02-26,186491,187404,913,191453
2021-02-27,152227,151802,-425,155745
2021-02-28,137000,140891,3891,140504
2021-03-01,189522,188650,-872,194712
2021-03-02,193013,192149,-864,195344
2021-03-03,192424,196654,4230,193467
2021-03-04,195218,190743,-4475,190195
2021-03-05,190409,196358,5949,190267
2021-03-06,157642,161668,4026,155850
2021-03-07,141640,149223,7583,142660
2021-03-08,198867,198265,-602,193806
2021-03-09,202307,205881,3574,197625
2021-03-10,203969,200384,-3585,196234
2021-03-11,196333,201482,5149,191935
2021-03-12,197055,194975,-2080,190881
2021-03-13,156258,163833,7575,155306
2021-03-14,143550,147986,4436,145110
2021-03-15,199047,196609,-2438,193585
2021-03-16,201465,201816,351,199425
2021-03-17,201955,199780,-2175,199227
2021-03-18,198935,199230,295,199121
2021-03-19,195811,196588,777,196209
2021-03-20,160431,161929,1498,164453
2021-03-21,142459,152525,10066,145376
2021-03-22,199595,201437,1842,197082
2021-03-23,201700,204880,3180,201998
2021-03-24,200321,197672,-2649,198457
2021-03-25,194850,193397,-1453,196994
2021-03-26,189731,185453,-4278,189317
2021-03-27,148990,152465,3475,154493
2021-03-28,131344,131824,480,141375
2021-03-29,183351,183147,-204,191179
2021-03-30,187810,184709,-3101,196069
2021-03-31,186025,181604,-4421,188502
2021-04-01,181592,175125,-6467,181754
2021-04-02,132418,130015,-2403,131587
2021-04-03,124732,133528,8796,144733
2021-04-04,123672,119636,-4036,128811
2021-04-05,120723,130802,10079,132840
2021-04-06,184164,188357,4193,180146
2021-04-07,195590,199550,3960,178618
2021-04-08,197314,195562,-1752,184086
2021-04-09,190152,189779,-373,185356
2021-04-10,150578,151553,975,135935
2021-04-11,129213,141812,12599,127621
2021-04-12,196002,195595,-407,190110
2021-04-13,196672,202048,5376,192461
2021-04-14,197179,204067,6888,199432
2021-04-15,201298,200061,-1237,196145
2021-04-16,195796,197584,1788,195550
2021-04-17,155534,161575,6041,153081
2021-04-18,137995,148241,10246,140876
2021-04-19,195481,198131,2650,193749
2021-04-20,197829,198781,952,195296
2021-04-21,195688,193487,-2201,198446
2021-04-22,193836,189453,-4383,194133
2021-04-23,186273,185110,-1163,189438
2021-04-24,146458,146840,382,152488
2021-04-25,128255,132381,4126,138418
2021-04-26,183992,181556,-2436,191237
2021-04-27,188328,188308,-20,193791
2021-04-28,186325,191559,5234,190082
2021-04-29,188847,188774,-73,187615
2021-04-30,185990,187652,1662,185427
2021-05-01,145831,134964,-10867,137130
2021-05-02,125987,132987,7000,133995
2021-05-03,183779,184986,1207,184778
2021-05-04,189229,194400,5171,189181
2021-05-05,192615,191998,-617,191842
2021-05-06,189403,197281,7878,190705
2021-05-07,191299,187396,-3903,185607
2021-05-08,146938,146926,-12,143166
2021-05-09,127143,130745,3602,129638
2021-05-10,183985,181432,-2553,181326
2021-05-11,187779,191168,3389,189466
2021-05-12,191037,184286,-6751,187454
2021-05-13,135655,136476,821,128528
2021-05-14,158215,150949,-7266,169987
2021-05-15,134809,137400,2591,145331
2021-05-16,124077,130168,6091,129463
2021-05-17,181452,178814,-2638,177896
2021-05-18,186786,185590,-1196,188901
2021-05-19,185252,186420,1168,184917
2021-05-20,183989,184356,367,186377
2021-05-21,180580,182030,1450,187377
2021-05-22,141225,140221,-1004,135531
2021-05-23,121431,119942,-1489,126766
2021-05-24,119147,125709,6562,133699
