datum,luftfeuchtigkeit,durchschnittstemperatur,sichtweite,wetter,hoechsttemperatur,windgeschwindigkeit,tiefsttemperatur,sonnenaufgang,sonnenuntergang,niederschlag
2015-01-01,96.0,-1.8,5.3,Freezing fog,1.4,10.4,-4.6,08:16 AM,04:37 PM,0.0
2015-01-02,90.0,0.9,7.6,Light rain,2.2,19.4,-2.9,08:16 AM,04:38 PM,3.5
2015-01-03,96.0,1.4,7.8,Moderate or heavy rain with thunder,3.6,26.6,-2.0,08:16 AM,04:39 PM,18.1
2015-01-04,96.0,-0.5,5.8,Patchy moderate snow,1.7,17.6,-3.5,08:16 AM,04:40 PM,7.7
2015-01-05,86.0,0.7,10.0,Sunny,4.0,9.7,-2.8,08:16 AM,04:41 PM,0.0
2015-01-06,63.0,1.8,10.0,Cloudy,5.1,8.6,-0.2,08:16 AM,04:42 PM,0.0
2015-01-07,85.0,1.6,10.0,Light snow,3.0,11.5,-0.7,08:15 AM,04:44 PM,0.2
2015-01-08,93.0,4.5,9.1,Patchy light drizzle,6.0,31.0,1.1,08:15 AM,04:45 PM,1.9
2015-01-09,90.0,6.1,9.5,Cloudy,7.1,37.1,3.9,08:15 AM,04:46 PM,6.7
2015-01-10,91.0,10.8,8.5,Cloudy,12.2,36.4,9.2,08:14 AM,04:47 PM,6.5
2015-01-11,89.0,2.1,6.9,Moderate or heavy snow showers,3.0,29.9,0.6,08:14 AM,04:49 PM,8.7
2015-01-12,77.0,3.5,10.0,Cloudy,5.3,27.7,1.6,08:13 AM,04:50 PM,0.0
2015-01-13,60.0,5.7,10.0,Sunny,8.6,21.2,2.3,08:13 AM,04:51 PM,0.0
2015-01-14,88.0,4.9,9.4,Light rain,5.9,33.1,2.0,08:12 AM,04:53 PM,7.9
2015-01-15,77.0,5.6,9.0,Light drizzle,7.3,18.4,2.3,08:11 AM,04:54 PM,0.4
2015-01-16,85.0,5.9,8.8,Light rain,7.4,16.9,3.9,08:11 AM,04:56 PM,7.1
2015-01-17,94.0,2.3,4.0,Heavy snow,3.3,16.2,1.2,08:10 AM,04:57 PM,17.6
2015-01-18,86.0,1.7,8.4,Partly cloudy,4.3,10.4,-0.5,08:09 AM,04:59 PM,0.6
2015-01-19,77.0,2.0,9.0,Overcast,4.9,9.0,-0.9,08:08 AM,05:00 PM,0.4
2015-01-20,92.0,-0.6,3.8,Heavy snow,0.6,5.4,-2.9,08:07 AM,05:02 PM,8.8
2015-01-21,84.0,-0.1,10.0,Light snow,1.9,13.7,-3.5,08:06 AM,05:03 PM,0.1
2015-01-22,86.0,-0.8,10.0,Light snow,1.7,7.9,-3.6,08:05 AM,05:05 PM,0.1
2015-01-23,94.0,-0.2,4.5,Heavy snow,1.4,10.4,-1.8,08:04 AM,05:06 PM,1.7
2015-01-24,90.0,-0.4,8.4,Moderate snow,1.9,12.2,-2.1,08:03 AM,05:08 PM,1.4
2015-01-25,95.0,-1.2,4.8,Moderate snow,0.3,15.5,-2.4,08:02 AM,05:09 PM,2.6
2015-01-26,92.0,-0.2,6.6,Heavy snow,1.0,19.8,-3.4,08:01 AM,05:11 PM,4.3
2015-01-27,96.0,-0.1,2.4,Heavy snow,0.9,22.0,-1.4,08:00 AM,05:13 PM,8.5
2015-01-28,93.0,0.2,7.6,Partly cloudy,1.5,34.6,-2.1,07:59 AM,05:14 PM,1.58
