datum,verbrauch,arbeitstag,temperatur,tagesstunden
2015-01-01,126197,0,-2.5,8.4
2015-01-02,147085,1,-0.0,8.4
2015-01-03,141426,0,1.2,8.4
2015-01-04,132446,0,-0.2,8.4
2015-01-05,152611,1,-0.5,8.4
2015-01-06,140474,0,0.6,8.4
2015-01-07,184936,1,0.9,8.5
2015-01-08,190395,1,4.2,8.5
2015-01-09,186902,1,5.8,8.5
2015-01-10,150311,0,10.4,8.6
2015-01-11,140494,0,2.6,8.6
2015-01-12,194573,1,3.2,8.6
2015-01-13,196391,1,4.9,8.6
2015-01-14,198853,1,4.9,8.7
2015-01-15,198241,1,5.5,8.7
2015-01-16,194680,1,5.3,8.8
2015-01-17,161724,0,2.5,8.8
2015-01-18,143315,0,0.9,8.8
2015-01-19,200367,1,1.3,8.9
2015-01-20,205528,1,-0.3,8.9
2015-01-21,208345,1,-0.2,9.0
2015-01-22,206560,1,-0.6,9.0
2015-01-23,203941,1,0.2,9.0
2015-01-24,165210,0,-0.3,9.1
2015-01-25,147031,0,-0.9,9.1
2015-01-26,203719,1,-0.1,9.2
2015-01-27,206391,1,0.3,9.2
2015-01-28,205776,1,0.4,9.3
2015-01-29,202524,1,1.0,9.3
2015-01-30,199673,1,-0.7,9.4
2015-01-31,161846,0,-1.2,9.4
2015-02-01,146048,0,-0.8,9.5
2015-02-02,201114,1,-1.2,9.5
2015-02-03,206732,1,-5.9,9.6
2015-02-04,210222,1,-3.8,9.6
2015-02-05,208601,1,-3.1,9.7
2015-02-06,206607,1,-3.3,9.7
2015-02-07,168175,0,-5.6,9.8
2015-02-08,150782,0,-0.6,9.8
2015-02-09,204605,1,-0.7,9.9
2015-02-10,206257,1,0.8,9.9
2015-02-11,205914,1,0.9,10.0
2015-02-12,202478,1,1.2,10.0
2015-02-13,197657,1,1.5,10.1
2015-02-14,158154,0,1.7,10.1
2015-02-15,143733,0,-0.1,10.2
2015-02-16,190642,1,0.5,10.2
2015-02-17,198623,1,-0.2,10.3
2015-02-18,204060,1,-0.1,10.4
2015-02-19,200654,1,0.8,10.4
2015-02-20,193769,1,3.4,10.5
2015-02-21,157162,0,2.8,10.5
2015-02-22,141683,0,1.5,10.6
2015-02-23,197856,1,1.8,10.7
2015-02-24,199651,1,2.4,10.7
2015-02-25,198812,1,2.2,10.8
2015-02-26,197240,1,3.1,10.8
2015-02-27,195773,1,2.5,10.9
2015-02-28,157049,0,1.6,10.9
2015-03-01,138501,0,4.7,11.0
2015-03-02,193448,1,5.8,11.1
2015-03-03,197452,1,4.3,11.1
2015-03-04,197791,1,2.7,11.2
2015-03-05,197014,1,2.3,11.2
2015-03-06,191946,1,3.9,11.3
2015-03-07,155187,0,5.1,11.4
2015-03-08,134679,0,7.3,11.4
2015-03-09,185888,1,8.9,11.5
2015-03-10,192527,1,6.5,11.5
2015-03-11,191323,1,5.1,11.6
2015-03-12,191798,1,5.4,11.6
2015-03-13,189559,1,5.2,11.7
2015-03-14,153521,0,6.0,11.8
2015-03-15,134898,0,6.1,11.8
2015-03-16,186802,1,6.9,11.9
2015-03-17,190014,1,6.6,12.0
2015-03-18,187877,1,5.6,12.0
