datum,verbrauch,arbeitstag,temperatur,tagesstunden
2015-01-01,0.18433666612285493,0.0,0.17814726840855105,0.012658227848101111
2015-01-02,0.3466101102384227,1.0,0.2375296912114014,0.012658227848101111
2015-01-03,0.3026468097668602,0.0,0.2660332541567696,0.012658227848101111
2015-01-04,0.23288352327902984,0.0,0.2327790973871734,0.012658227848101111
2015-01-05,0.38954016827091165,1.0,0.22565320665083133,0.012658227848101111
2015-01-06,0.2952509691503329,0.0,0.2517814726840855,0.012658227848101111
2015-01-07,0.6406646934066702,1.0,0.2589073634204275,0.025316455696202445
2015-01-08,0.6830742458495507,1.0,0.33729216152019004,0.025316455696202445
2015-01-09,0.6559380365286163,1.0,0.3752969121140142,0.025316455696202445
2015-01-10,0.3716720659410664,0.0,0.48456057007125886,0.037974683544303556
2015-01-11,0.2954063439532011,0.0,0.2992874109263658,0.037974683544303556
2015-01-12,0.7155320421687215,1.0,0.31353919239904987,0.037974683544303556
2015-01-13,0.7296556117494426,1.0,0.3539192399049881,0.037974683544303556
2015-01-14,0.7487822499825203,1.0,0.3539192399049881,0.05063291139240489
2015-01-15,0.7440277810147529,1.0,0.3681710213776722,0.05063291139240489
2015-01-16,0.7163632973640666,1.0,0.36342042755344417,0.06329113924050622
2015-01-17,0.46033669719781556,0.0,0.29691211401425177,0.06329113924050622
2015-01-18,0.31732195989776346,0.0,0.2589073634204275,0.06329113924050622
2015-01-19,0.7605441225596445,1.0,0.2684085510688836,0.07594936708860756
2015-01-20,0.8006385904397884,1.0,0.23040380047505937,0.07594936708860756
2015-01-21,0.8225231314237771,1.0,0.2327790973871734,0.08860759493670867
2015-01-22,0.8086559302677885,1.0,0.22327790973871733,0.08860759493670867
2015-01-23,0.7883095998321952,1.0,0.24228028503562943,0.08860759493670867
2015-01-24,0.4874185253377461,0.0,0.23040380047505937,0.10126582278481
2015-01-25,0.34619059827067855,0.0,0.2161520190023753,0.10126582278481
2015-01-26,0.7865849395203581,1.0,0.2351543942992874,0.11392405063291111
2015-01-27,0.8073430131835522,1.0,0.24465558194774345,0.11392405063291111
